Census Year,Religious affiliation,Unit,Value
2006,Buddhist,Count,52365
2006,Christian,Count,2027421
2006,Hindu,Count,64392
2006,Islam/Muslim,Count,36072
2006,Judaism/ Jewish,Count,6855
2006,Maori Christian,Count,65550
2006,Spiritualism and New Age Religions,Count,19800
2006,Other Religions,Count,24447
2006,Object to Answering,Count,242607
2006,Total people stated,Count,3743655
2006,Not Elsewhere Included,Count,292974
2006,Total people,Count,4027947
