Census Year,Subject population,Religious affiliation,Religious affiliation Code,Unit,Value,Value Unit,Value Label,Null Reason
2023,Census usually resident population,Nazarene,Nazarene,Percentage of total stated,0.01039263120397,percentage,% of people,
2013,Census usually resident population,Wesleyan Methodist,Wesleyan Methodist,Count,,number,Number of people,not available
2013,Census usually resident population,Wesleyan Methodist,Wesleyan Methodist,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Wesleyan Methodist,Wesleyan Methodist,Count,4623,number,Number of people,
2018,Census usually resident population,Wesleyan Methodist,Wesleyan Methodist,Percentage of total stated,0.09836682976027,percentage,% of people,
2023,Census usually resident population,Wesleyan Methodist,Wesleyan Methodist,Count,5136,number,Number of people,
2023,Census usually resident population,Wesleyan Methodist,Wesleyan Methodist,Percentage of total stated,0.1028449978103,percentage,% of people,
2013,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Count,1221,number,Number of people,
2013,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Percentage of total stated,0.03129835095372,percentage,% of people where information available,
2018,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Count,3657,number,Number of people,
2018,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Percentage of total stated,0.07781256682529,percentage,% of people,
2023,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Count,3753,number,Number of people,
2023,Census usually resident population,Methodist (not elsewhere classified),Methodist nec,Percentage of total stated,0.07515133893734,percentage,% of people,
2013,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Count,8430,number,Number of people,
2013,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Percentage of total stated,0.2160893517935,percentage,% of people where information available,
2018,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Count,4503,number,Number of people,
2018,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Percentage of total stated,0.09581350517208,percentage,% of people,
2023,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Count,4173,number,Number of people,
2023,Census usually resident population,Orthodox (not further defined),Orthodox nfd,Percentage of total stated,0.0835615607209,percentage,% of people,
2013,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Count,225,number,Number of people,
2013,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Percentage of total stated,0.005767509389505,percentage,% of people where information available,
2018,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Count,327,number,Number of people,
2018,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Percentage of total stated,0.006957809502836,percentage,% of people,
2023,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Count,297,number,Number of people,
2023,Census usually resident population,Assyrian Orthodox,Assyrian Orthodox,Percentage of total stated,0.005947228261229,percentage,% of people,
2013,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Count,411,number,Number of people,
2013,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Percentage of total stated,0.0105353171515,percentage,% of people where information available,
2018,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Count,546,number,Number of people,
2018,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Percentage of total stated,0.01161762687629,percentage,% of people,
2023,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Count,609,number,Number of people,
2023,Census usually resident population,Coptic Orthodox,Coptic Orthodox,Percentage of total stated,0.01219482158616,percentage,% of people,
2013,Census usually resident population,Greek Orthodox,Greek Orthodox,Count,2499,number,Number of people,
2013,Census usually resident population,Greek Orthodox,Greek Orthodox,Percentage of total stated,0.06405780428611,percentage,% of people where information available,
2018,Census usually resident population,Greek Orthodox,Greek Orthodox,Count,3162,number,Number of people,
2018,Census usually resident population,Greek Orthodox,Greek Orthodox,Percentage of total stated,0.06728010289898,percentage,% of people,
2023,Census usually resident population,Greek Orthodox,Greek Orthodox,Count,3090,number,Number of people,
2023,Census usually resident population,Greek Orthodox,Greek Orthodox,Percentage of total stated,0.06187520312187,percentage,% of people,
2013,Census usually resident population,Russian Orthodox,Russian Orthodox,Count,1161,number,Number of people,
2013,Census usually resident population,Russian Orthodox,Russian Orthodox,Percentage of total stated,0.02976034844985,percentage,% of people where information available,
2018,Census usually resident population,Russian Orthodox,Russian Orthodox,Count,2952,number,Number of people,
2018,Census usually resident population,Russian Orthodox,Russian Orthodox,Percentage of total stated,0.06281178486964,percentage,% of people,
2023,Census usually resident population,Russian Orthodox,Russian Orthodox,Count,2601,number,Number of people,
2023,Census usually resident population,Russian Orthodox,Russian Orthodox,Percentage of total stated,0.05208330204531,percentage,% of people,
2013,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Count,315,number,Number of people,
2013,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Percentage of total stated,0.008074513145307,percentage,% of people where information available,
2018,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Count,936,number,Number of people,
2018,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Percentage of total stated,0.01991593178793,percentage,% of people,
2023,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Count,840,number,Number of people,
2023,Census usually resident population,Serbian Orthodox,Serbian Orthodox,Percentage of total stated,0.01682044356711,percentage,% of people,
2013,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Count,798,number,Number of people,
2013,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Percentage of total stated,0.02045543330145,percentage,% of people where information available,
2018,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Count,1440,number,Number of people,
2018,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Percentage of total stated,0.03063989505836,percentage,% of people,
2023,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Count,2175,number,Number of people,
2023,Census usually resident population,Orthodox (not elsewhere classified),Orthodox nec,Percentage of total stated,0.04355293423627,percentage,% of people,
2013,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Count,45777,number,Number of people,
2013,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Percentage of total stated,1.173419010326,percentage,% of people where information available,
2018,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Count,22296,number,Number of people,
2018,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Percentage of total stated,0.4744077084869,percentage,% of people,
2023,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Count,19245,number,Number of people,
2023,Census usually resident population,Pentecostal (not further defined),Pentecostal nfd,Percentage of total stated,0.3853683767251,percentage,% of people,
2013,Census usually resident population,ACTS Churches,ACTS Churches,Count,6120,number,Number of people,
2013,Census usually resident population,ACTS Churches,ACTS Churches,Percentage of total stated,0.1568762553945,percentage,% of people where information available,
2018,Census usually resident population,ACTS Churches,ACTS Churches,Count,5460,number,Number of people,
2018,Census usually resident population,ACTS Churches,ACTS Churches,Percentage of total stated,0.1161762687629,percentage,% of people,
2023,Census usually resident population,ACTS Churches,ACTS Churches,Count,4593,number,Number of people,
2023,Census usually resident population,ACTS Churches,ACTS Churches,Percentage of total stated,0.09197178250446,percentage,% of people,
2013,Census usually resident population,Assemblies of God,Assemblies of God,Count,13803,number,Number of people,
2013,Census usually resident population,Assemblies of God,Assemblies of God,Percentage of total stated,0.3538174760149,percentage,% of people where information available,
2018,Census usually resident population,Assemblies of God,Assemblies of God,Count,14883,number,Number of people,
2018,Census usually resident population,Assemblies of God,Assemblies of God,Percentage of total stated,0.3166760820511,percentage,% of people,
2023,Census usually resident population,Assemblies of God,Assemblies of God,Count,15024,number,Number of people,
2023,Census usually resident population,Assemblies of God,Assemblies of God,Percentage of total stated,0.3008456478003,percentage,% of people,
2013,Census usually resident population,Christian Fellowship,Christian Fellowship,Count,0,number,Number of people,
2013,Census usually resident population,Christian Fellowship,Christian Fellowship,Percentage of total stated,0,percentage,% of people where information available,
2018,Census usually resident population,Christian Fellowship,Christian Fellowship,Count,18042,number,Number of people,
2023,Census usually resident population,Islam (not elsewhere classified),Islam nec,Count,30,number,Number of people,
2018,Census usually resident population,Christian Fellowship,Christian Fellowship,Percentage of total stated,0.3838923518354,percentage,% of people,
2023,Census usually resident population,Christian Fellowship,Christian Fellowship,Count,7812,number,Number of people,
2023,Census usually resident population,Christian Fellowship,Christian Fellowship,Percentage of total stated,0.1564301251741,percentage,% of people,
2013,Census usually resident population,Christian Outreach,Christian Outreach,Count,81,number,Number of people,
2013,Census usually resident population,Christian Outreach,Christian Outreach,Percentage of total stated,0.002076303380222,percentage,% of people where information available,
2018,Census usually resident population,Christian Outreach,Christian Outreach,Count,1554,number,Number of people,
2018,Census usually resident population,Christian Outreach,Christian Outreach,Percentage of total stated,0.03306555341715,percentage,% of people,
2023,Census usually resident population,Christian Outreach,Christian Outreach,Count,795,number,Number of people,
2023,Census usually resident population,Christian Outreach,Christian Outreach,Percentage of total stated,0.01591934837602,percentage,% of people,
2013,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Count,51,number,Number of people,
2013,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Percentage of total stated,0.001307302128288,percentage,% of people where information available,
2018,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Count,576,number,Number of people,
2018,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Percentage of total stated,0.01225595802334,percentage,% of people,
2023,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Count,1038,number,Number of people,
2023,Census usually resident population,Christian Revival Crusade,Christian Revival Crusade,Percentage of total stated,0.02078526240793,percentage,% of people,
2013,Census usually resident population,Elim,Elim,Count,1494,number,Number of people,
2013,Census usually resident population,Elim,Elim,Percentage of total stated,0.03829626234632,percentage,% of people where information available,
2018,Census usually resident population,Elim,Elim,Count,3018,number,Number of people,
2018,Census usually resident population,Elim,Elim,Percentage of total stated,0.06421611339314,percentage,% of people,
2023,Census usually resident population,Elim,Elim,Count,2535,number,Number of people,
2023,Census usually resident population,Elim,Elim,Percentage of total stated,0.05076169576503,percentage,% of people,
2013,Census usually resident population,Full Gospel,Full Gospel,Count,1074,number,Number of people,
2013,Census usually resident population,Full Gospel,Full Gospel,Percentage of total stated,0.02753024481924,percentage,% of people where information available,
2018,Census usually resident population,Full Gospel,Full Gospel,Count,1017,number,Number of people,
2018,Census usually resident population,Full Gospel,Full Gospel,Percentage of total stated,0.02163942588497,percentage,% of people,
2023,Census usually resident population,Full Gospel,Full Gospel,Count,1053,number,Number of people,
2023,Census usually resident population,Full Gospel,Full Gospel,Percentage of total stated,0.02108562747163,percentage,% of people,
2013,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Count,141,number,Number of people,
2013,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Percentage of total stated,0.00361430588409,percentage,% of people where information available,
2018,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Count,954,number,Number of people,
2018,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Percentage of total stated,0.02029893047616,percentage,% of people,
2023,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Count,660,number,Number of people,
2023,Census usually resident population,Independent Pentecostal,Independent Pentecostal,Percentage of total stated,0.01321606280273,percentage,% of people,
2013,Census usually resident population,New Life,New Life,Count,2157,number,Number of people,
2013,Census usually resident population,New Life,New Life,Percentage of total stated,0.05529119001406,percentage,% of people where information available,
2018,Census usually resident population,New Life,New Life,Count,3132,number,Number of people,
2018,Census usually resident population,New Life,New Life,Percentage of total stated,0.06664177175193,percentage,% of people,
2023,Census usually resident population,New Life,New Life,Count,2892,number,Number of people,
2023,Census usually resident population,New Life,New Life,Percentage of total stated,0.05791038428106,percentage,% of people,
2013,Census usually resident population,Revival Centres,Revival Centres,Count,195,number,Number of people,
2013,Census usually resident population,Revival Centres,Revival Centres,Percentage of total stated,0.004998508137571,percentage,% of people where information available,
2018,Census usually resident population,Revival Centres,Revival Centres,Count,180,number,Number of people,
2018,Census usually resident population,Revival Centres,Revival Centres,Percentage of total stated,0.003829986882295,percentage,% of people,
2023,Census usually resident population,Revival Centres,Revival Centres,Count,138,number,Number of people,
2023,Census usually resident population,Revival Centres,Revival Centres,Percentage of total stated,0.002763358586025,percentage,% of people,
2013,Census usually resident population,United Pentecostal,United Pentecostal,Count,258,number,Number of people,
2013,Census usually resident population,United Pentecostal,United Pentecostal,Percentage of total stated,0.006613410766633,percentage,% of people where information available,
2018,Census usually resident population,United Pentecostal,United Pentecostal,Count,690,number,Number of people,
2018,Census usually resident population,United Pentecostal,United Pentecostal,Percentage of total stated,0.01468161638213,percentage,% of people,
2023,Census usually resident population,United Pentecostal,United Pentecostal,Count,690,number,Number of people,
2023,Census usually resident population,United Pentecostal,United Pentecostal,Percentage of total stated,0.01381679293013,percentage,% of people,
2013,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Count,1020,number,Number of people,
2013,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Percentage of total stated,0.02614604256576,percentage,% of people where information available,
2018,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Count,3399,number,Number of people,
2018,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Percentage of total stated,0.07232291896067,percentage,% of people,
2023,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Count,3525,number,Number of people,
2023,Census usually resident population,Vineyard Christian Fellowship,Vineyard Christian Fellowship,Percentage of total stated,0.07058578996913,percentage,% of people,
2013,Census usually resident population,Arise Church,Arise Church,Count,,number,Number of people,not available
2013,Census usually resident population,Arise Church,Arise Church,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Arise Church,Arise Church,Count,1641,number,Number of people,
2018,Census usually resident population,Arise Church,Arise Church,Percentage of total stated,0.03491671374359,percentage,% of people,
2023,Census usually resident population,Arise Church,Arise Church,Count,666,number,Number of people,
2023,Census usually resident population,Arise Church,Arise Church,Percentage of total stated,0.01333620882821,percentage,% of people,
2013,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Count,6,number,Number of people,
2013,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Percentage of total stated,0.0001538002503868,percentage,% of people where information available,
2018,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Count,3,number,Number of people,
2018,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Percentage of total stated,0.00006383311470492,percentage,% of people,
2023,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Count,0,number,Number of people,
2023,Census usually resident population,Commonwealth Covenant Church,Commonwealth Covenant Church,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,City Impact Church,City Impact Church,Count,,number,Number of people,not available
2013,Census usually resident population,City Impact Church,City Impact Church,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,City Impact Church,City Impact Church,Count,441,number,Number of people,
2018,Census usually resident population,City Impact Church,City Impact Church,Percentage of total stated,0.009383467861623,percentage,% of people,
2023,Census usually resident population,City Impact Church,City Impact Church,Count,516,number,Number of people,
2023,Census usually resident population,City Impact Church,City Impact Church,Percentage of total stated,0.01033255819123,percentage,% of people,
2013,Census usually resident population,Destiny Church,Destiny Church,Count,,number,Number of people,not available
2013,Census usually resident population,Destiny Church,Destiny Church,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Destiny Church,Destiny Church,Count,1722,number,Number of people,
2018,Census usually resident population,Destiny Church,Destiny Church,Percentage of total stated,0.03664020784062,percentage,% of people,
2023,Census usually resident population,Destiny Church,Destiny Church,Count,1344,number,Number of people,
2023,Census usually resident population,Destiny Church,Destiny Church,Percentage of total stated,0.02691270970738,percentage,% of people,
2013,Census usually resident population,Equippers Church,Equippers Church,Count,,number,Number of people,not available
2013,Census usually resident population,Equippers Church,Equippers Church,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Equippers Church,Equippers Church,Count,705,number,Number of people,
2018,Census usually resident population,Equippers Church,Equippers Church,Percentage of total stated,0.01500078195566,percentage,% of people,
2023,Census usually resident population,Equippers Church,Equippers Church,Count,792,number,Number of people,
2023,Census usually resident population,Equippers Church,Equippers Church,Percentage of total stated,0.01585927536328,percentage,% of people,
2013,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Count,2262,number,Number of people,
2013,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Percentage of total stated,0.05798269439583,percentage,% of people where information available,
2018,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Count,1911,number,Number of people,
2018,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Percentage of total stated,0.04066169406703,percentage,% of people,
2023,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Count,2895,number,Number of people,
2023,Census usually resident population,Pentecostal (not elsewhere classified),Pentecostal nec,Percentage of total stated,0.05797045729379,percentage,% of people,
2013,Census usually resident population,Presbyterian,Presbyterian,Count,316332,number,Number of people,
2013,Census usually resident population,Presbyterian,Presbyterian,Percentage of total stated,8.108656800893,percentage,% of people where information available,
2018,Census usually resident population,Presbyterian,Presbyterian,Count,221199,number,Number of people,
2018,Census usually resident population,Presbyterian,Presbyterian,Percentage of total stated,4.706607046538,percentage,% of people,
2023,Census usually resident population,Presbyterian,Presbyterian,Count,179535,number,Number of people,
2023,Census usually resident population,Presbyterian,Presbyterian,Percentage of total stated,3.595069447406,percentage,% of people,
2013,Census usually resident population,Congregational,Congregational,Count,4740,number,Number of people,
2013,Census usually resident population,Congregational,Congregational,Percentage of total stated,0.1215021978056,percentage,% of people where information available,
2018,Census usually resident population,Congregational,Congregational,Count,3513,number,Number of people,
2018,Census usually resident population,Congregational,Congregational,Percentage of total stated,0.07474857731946,percentage,% of people,
2023,Census usually resident population,Congregational,Congregational,Count,3267,number,Number of people,
2023,Census usually resident population,Congregational,Congregational,Percentage of total stated,0.06541951087352,percentage,% of people,
2013,Census usually resident population,Cook Island Congregational,Cook Island Congregational,Count,1314,number,Number of people,
2013,Census usually resident population,Cook Island Congregational,Cook Island Congregational,Percentage of total stated,0.03368225483471,percentage,% of people where information available,
2018,Census usually resident population,Cook Island Congregational,Cook Island Congregational,Count,1698,number,Number of people,
2018,Census usually resident population,Cook Island Congregational,Cook Island Congregational,Percentage of total stated,0.03612954292298,percentage,% of people,
2023,Census usually resident population,Cook Island Congregational,Cook Island Congregational,Count,1815,number,Number of people,
2023,Census usually resident population,Cook Island Congregational,Cook Island Congregational,Percentage of total stated,0.03634417270751,percentage,% of people,
2013,Census usually resident population,Samoan Congregational,Samoan Congregational,Count,3909,number,Number of people,
2013,Census usually resident population,Samoan Congregational,Samoan Congregational,Percentage of total stated,0.100200863127,percentage,% of people where information available,
2018,Census usually resident population,Samoan Congregational,Samoan Congregational,Count,7932,number,Number of people,
2018,Census usually resident population,Samoan Congregational,Samoan Congregational,Percentage of total stated,0.1687747552798,percentage,% of people,
2023,Census usually resident population,Samoan Congregational,Samoan Congregational,Count,9243,number,Number of people,
2023,Census usually resident population,Samoan Congregational,Samoan Congregational,Percentage of total stated,0.185084952251,percentage,% of people,
2013,Census usually resident population,Reformed,Reformed,Count,4611,number,Number of people,
2013,Census usually resident population,Reformed,Reformed,Percentage of total stated,0.1181954924223,percentage,% of people where information available,
2018,Census usually resident population,Reformed,Reformed,Count,5418,number,Number of people,
2018,Census usually resident population,Reformed,Reformed,Percentage of total stated,0.1152826051571,percentage,% of people,
2023,Census usually resident population,Reformed,Reformed,Count,5376,number,Number of people,
2023,Census usually resident population,Reformed,Reformed,Percentage of total stated,0.1076508388295,percentage,% of people,
2013,Census usually resident population,Chinese Presbyterian,Chinese Presbyterian,Count,,number,Number of people,not available
2013,Census usually resident population,Chinese Presbyterian,Chinese Presbyterian,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Chinese Presbyterian,Chinese Presbyterian,Count,327,number,Number of people,
2018,Census usually resident population,Chinese Presbyterian,Chinese Presbyterian,Percentage of total stated,0.006957809502836,percentage,% of people,
2023,Census usually resident population,Chinese Presbyterian,Chinese Presbyterian,Count,285,number,Number of people,
2023,Census usually resident population,Chinese Presbyterian,Chinese Presbyterian,Percentage of total stated,0.00570693621027,percentage,% of people,
2013,Census usually resident population,Korean Presbyterian,Korean Presbyterian,Count,,number,Number of people,not available
2013,Census usually resident population,Korean Presbyterian,Korean Presbyterian,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Korean Presbyterian,Korean Presbyterian,Count,2820,number,Number of people,
2018,Census usually resident population,Korean Presbyterian,Korean Presbyterian,Percentage of total stated,0.06000312782262,percentage,% of people,
2023,Census usually resident population,Korean Presbyterian,Korean Presbyterian,Count,2808,number,Number of people,
2023,Census usually resident population,Korean Presbyterian,Korean Presbyterian,Percentage of total stated,0.05622833992434,percentage,% of people,
2013,Census usually resident population,Protestant (not further defined),Protestant nfd,Count,4998,number,Number of people,
2013,Census usually resident population,Protestant (not further defined),Protestant nfd,Percentage of total stated,0.1281156085722,percentage,% of people where information available,
2018,Census usually resident population,Protestant (not further defined),Protestant nfd,Count,8544,number,Number of people,
2018,Census usually resident population,Protestant (not further defined),Protestant nfd,Percentage of total stated,0.1817967106796,percentage,% of people,
2023,Census usually resident population,Protestant (not further defined),Protestant nfd,Count,7830,number,Number of people,
2023,Census usually resident population,Protestant (not further defined),Protestant nfd,Percentage of total stated,0.1567905632506,percentage,% of people,
2013,Census usually resident population,Salvation Army,Salvation Army,Count,9162,number,Number of people,
2013,Census usually resident population,Salvation Army,Salvation Army,Percentage of total stated,0.2348529823407,percentage,% of people where information available,
2018,Census usually resident population,Salvation Army,Salvation Army,Count,7929,number,Number of people,
2018,Census usually resident population,Salvation Army,Salvation Army,Percentage of total stated,0.1687109221651,percentage,% of people,
2023,Census usually resident population,Salvation Army,Salvation Army,Count,6048,number,Number of people,
2023,Census usually resident population,Salvation Army,Salvation Army,Percentage of total stated,0.1211071936832,percentage,% of people,
2013,Census usually resident population,Uniting/Union Church,Uniting/Union Church,Count,903,number,Number of people,
2013,Census usually resident population,Uniting/Union Church,Uniting/Union Church,Percentage of total stated,0.02314693768321,percentage,% of people where information available,
2018,Census usually resident population,Uniting/Union Church,Uniting/Union Church,Count,3624,number,Number of people,
2018,Census usually resident population,Uniting/Union Church,Uniting/Union Church,Percentage of total stated,0.07711040256354,percentage,% of people,
2023,Census usually resident population,Uniting/Union Church,Uniting/Union Church,Count,2451,number,Number of people,
2023,Census usually resident population,Uniting/Union Church,Uniting/Union Church,Percentage of total stated,0.04907965140832,percentage,% of people,
2013,Census usually resident population,Ecumenical,Ecumenical,Count,96,number,Number of people,
2013,Census usually resident population,Ecumenical,Ecumenical,Percentage of total stated,0.002460804006189,percentage,% of people where information available,
2018,Census usually resident population,Ecumenical,Ecumenical,Count,69,number,Number of people,
2018,Census usually resident population,Ecumenical,Ecumenical,Percentage of total stated,0.001468161638213,percentage,% of people,
2023,Census usually resident population,Ecumenical,Ecumenical,Count,60,number,Number of people,
2023,Census usually resident population,Ecumenical,Ecumenical,Percentage of total stated,0.001201460254794,percentage,% of people,
2013,Census usually resident population,Christian and Missionary Alliance,Christian and Missionary Alliance,Count,273,number,Number of people,
2013,Census usually resident population,Christian and Missionary Alliance,Christian and Missionary Alliance,Percentage of total stated,0.0069979113926,percentage,% of people where information available,
2018,Census usually resident population,Christian and Missionary Alliance,Christian and Missionary Alliance,Count,2094,number,Number of people,
2018,Census usually resident population,Christian and Missionary Alliance,Christian and Missionary Alliance,Percentage of total stated,0.04455551406403,percentage,% of people,
2023,Census usually resident population,Christian and Missionary Alliance,Christian and Missionary Alliance,Count,2031,number,Number of people,
2023,Census usually resident population,Christian and Missionary Alliance,Christian and Missionary Alliance,Percentage of total stated,0.04066942962477,percentage,% of people,
2013,Census usually resident population,Christian Science,Christian Science,Count,240,number,Number of people,
2013,Census usually resident population,Christian Science,Christian Science,Percentage of total stated,0.006152010015472,percentage,% of people where information available,
2018,Census usually resident population,Christian Science,Christian Science,Count,639,number,Number of people,
2018,Census usually resident population,Christian Science,Christian Science,Percentage of total stated,0.01359645343215,percentage,% of people,
2023,Census usually resident population,Christian Science,Christian Science,Count,885,number,Number of people,
2023,Census usually resident population,Christian Science,Christian Science,Percentage of total stated,0.01772153875821,percentage,% of people,
2013,Census usually resident population,Church of God,Church of God,Count,567,number,Number of people,
2013,Census usually resident population,Church of God,Church of God,Percentage of total stated,0.01453412366155,percentage,% of people where information available,
2018,Census usually resident population,Church of God,Church of God,Count,1458,number,Number of people,
2018,Census usually resident population,Church of God,Church of God,Percentage of total stated,0.03102289374659,percentage,% of people,
2023,Census usually resident population,Church of God,Church of God,Count,1335,number,Number of people,
2023,Census usually resident population,Church of God,Church of God,Percentage of total stated,0.02673249066916,percentage,% of people,
2013,Census usually resident population,Liberal Catholic,Liberal Catholic,Count,60,number,Number of people,
2013,Census usually resident population,Liberal Catholic,Liberal Catholic,Percentage of total stated,0.001538002503868,percentage,% of people where information available,
2018,Census usually resident population,Liberal Catholic,Liberal Catholic,Count,2115,number,Number of people,
2018,Census usually resident population,Liberal Catholic,Liberal Catholic,Percentage of total stated,0.04500234586697,percentage,% of people,
2023,Census usually resident population,Liberal Catholic,Liberal Catholic,Count,1887,number,Number of people,
2023,Census usually resident population,Liberal Catholic,Liberal Catholic,Percentage of total stated,0.03778592501326,percentage,% of people,
2013,Census usually resident population,Metropolitan Community Church,Metropolitan Community Church,Count,36,number,Number of people,
2013,Census usually resident population,Metropolitan Community Church,Metropolitan Community Church,Percentage of total stated,0.0009228015023208,percentage,% of people where information available,
2018,Census usually resident population,Metropolitan Community Church,Metropolitan Community Church,Count,63,number,Number of people,
2018,Census usually resident population,Metropolitan Community Church,Metropolitan Community Church,Percentage of total stated,0.001340495408803,percentage,% of people,
2023,Census usually resident population,Metropolitan Community Church,Metropolitan Community Church,Count,48,number,Number of people,
2023,Census usually resident population,Metropolitan Community Church,Metropolitan Community Church,Percentage of total stated,0.0009611682038349,percentage,% of people,
2013,Census usually resident population,Religious Society of Friends (Quaker),Religious Society of Friends (Quaker),Count,969,number,Number of people,
2013,Census usually resident population,Religious Society of Friends (Quaker),Religious Society of Friends (Quaker),Percentage of total stated,0.02483874043747,percentage,% of people where information available,
2018,Census usually resident population,Religious Society of Friends (Quaker),Religious Society of Friends (Quaker),Count,954,number,Number of people,
2018,Census usually resident population,Religious Society of Friends (Quaker),Religious Society of Friends (Quaker),Percentage of total stated,0.02029893047616,percentage,% of people,
2023,Census usually resident population,Religious Society of Friends (Quaker),Religious Society of Friends (Quaker),Count,909,number,Number of people,
2023,Census usually resident population,Religious Society of Friends (Quaker),Religious Society of Friends (Quaker),Percentage of total stated,0.01820212286012,percentage,% of people,
2013,Census usually resident population,Unitarian,Unitarian,Count,339,number,Number of people,
2013,Census usually resident population,Unitarian,Unitarian,Percentage of total stated,0.008689714146855,percentage,% of people where information available,
2018,Census usually resident population,Unitarian,Unitarian,Count,354,number,Number of people,
2018,Census usually resident population,Unitarian,Unitarian,Percentage of total stated,0.00753230753518,percentage,% of people,
2023,Census usually resident population,Unitarian,Unitarian,Count,318,number,Number of people,
2023,Census usually resident population,Unitarian,Unitarian,Percentage of total stated,0.006367739350406,percentage,% of people,
2013,Census usually resident population,Christadelphian,Christadelphian,Count,1689,number,Number of people,
2013,Census usually resident population,Christadelphian,Christadelphian,Percentage of total stated,0.04329477048389,percentage,% of people where information available,
2018,Census usually resident population,Christadelphian,Christadelphian,Count,1758,number,Number of people,
2018,Census usually resident population,Christadelphian,Christadelphian,Percentage of total stated,0.03740620521708,percentage,% of people,
2023,Census usually resident population,Christadelphian,Christadelphian,Count,1662,number,Number of people,
2023,Census usually resident population,Christadelphian,Christadelphian,Percentage of total stated,0.03328044905778,percentage,% of people,
2013,Census usually resident population,Jesus Follower,Jesus Follower,Count,,number,Number of people,not available
